brand_name,model_name,motor_size,model_year,kms_driven,mileage,owner,power,price
Husqvarna,Svartpilen,250.0,2020,7000.0,31.0,1,29.63,197125
Royal-Enfield,Thunderbird,350.0,2019,9000.0,0.0,1,19.8,166000
TVS,Apache,160.0,2019,21500.0,0.0,1,16.1,93000
TVS,Apache,200.0,2018,40.0,40.0,2,20.23,88000
Royal-Enfield,Bullet,350.0,2019,7714.0,40.0,1,19.8,135000
Yamaha,FZs,150.0,2012,60000.0,45.0,1,13.0,32000
Royal-Enfield,Classic,350.0,2020,5389.0,35.0,1,19.8,165000
Suzuki,Gixxer,250.0,2019,9500.0,0.0,1,26.1,120000
Yamaha,YZF-R15,150.0,2019,12573.0,0.0,1,18.7,128000
Hero,Passion,110.0,2019,28240.0,0.0,1,9.3,50000
Hero,Passion,100.0,2018,30000.0,5.0,1,8.2,42000
Bajaj,Pulsar,220.0,2010,38000.0,38.0,2,21.0,30000
Bajaj,Avenger,150.0,2017,9563.0,45.0,2,14.3,39000
Suzuki,Gixxer,250.0,2019,23000.0,0.0,1,26.1,70000
Hero,Passion,100.0,2011,67000.0,5.0,1,8.2,26000
Hero,Passion,100.0,2011,56194.0,5.0,1,8.2,20000
Bajaj,Pulsar,150.0,2014,65.0,65.0,1,14.85,40000
Yamaha,FZs,150.0,2014,27000.0,45.0,2,13.0,48500
Yamaha,SZ,150.0,2013,37788.0,50.0,1,11.9,43000
TVS,Apache,180.0,2017,45.0,45.0,1,17.2,80000
Bajaj,Pulsar,200.0,2018,35.0,35.0,1,24.5,110000
Bajaj,Pulsar,200.0,2015,35.0,35.0,1,24.16,76300
Yamaha,YZF-R15,150.0,2019,5700.0,0.0,1,18.7,117500
Yamaha,YZF-R15,150.0,2019,19000.0,0.0,1,18.7,125000
Royal-Enfield,Classic,350.0,2014,23000.0,35.0,1,19.8,114500
Bajaj,Pulsar,200.0,2018,35.0,35.0,1,24.5,100000
Bajaj,Pulsar,200.0,2017,35.0,35.0,1,24.5,115000
KTM,RC,200.0,2016,28000.0,35.0,1,25.1,90000
Honda,SP125,125.0,2020,5000.0,0.0,1,10.72,81000
TVS,Apache,310.0,2019,25000.0,22.0,1,33.0,95000
Bajaj,Pulsar,220.0,2019,9000.0,38.0,1,21.0,114125
Royal-Enfield,Classic,350.0,2016,39500.0,35.0,1,19.8,95000
Yamaha,FZS,150.0,2017,58.0,58.0,1,13.0,72000
Royal-Enfield,Continental,535.0,2015,1600.0,26.0,1,29.1,165000
Yamaha,YZF-R15,150.0,2008,42821.0,42.0,1,16.0,42000
Royal-Enfield,Bullet,350.0,2020,37.0,37.0,1,19.8,150000
Bajaj,Pulsar,150.0,2018,65.0,65.0,1,15.0,58000
Bajaj,Platina,100.0,2019,104.0,10.0,1,8.2,57000
Bajaj,Discover,110.0,2019,40000.0,0.0,1,8.6,45000
Royal-Enfield,Bullet,350.0,2012,15990.0,40.0,1,19.8,70000
Bajaj,Pulsar,220.0,2018,18000.0,38.0,1,21.0,75000
Honda,CB,125.0,2007,65.0,65.0,1,10.0,9000
Yamaha,YZF-R15,150.0,2017,29500.0,42.0,1,16.7,87500
Hero,Ignitor,125.0,2013,52000.0,55.0,1,11.0,30000
Yamaha,MT-15,150.0,2021,500.0,0.0,1,18.23,150500
Bajaj,Pulsar,160.0,2018,11000.0,0.0,2,15.5,90000
Hero,HF,100.0,2018,7259.0,65.0,1,8.1,22500
Royal-Enfield,Thunderbird,500.0,2019,4600.0,0.0,1,27.2,181562
Bajaj,Dominar,400.0,2018,28.0,28.0,1,34.5,145250
Hero,Xtreme,200.0,2019,40000.0,39.0,1,18.1,70000
Yamaha,YZF-R15,150.0,2016,45000.0,42.0,2,16.7,92000
Bajaj,CT,100.0,2018,38000.0,89.0,1,8.1,45000
Honda,CB,160.0,2016,52.0,52.0,1,15.44,38000
Hero,Achiever,150.0,2018,48000.0,45.0,1,13.0,48000
Royal-Enfield,Classic,350.0,2020,13000.0,35.0,1,19.8,207500
Royal-Enfield,Classic,350.0,2019,16000.0,35.0,1,19.8,176375
Yamaha,FZs,150.0,2014,39000.0,45.0,1,13.0,49800
Yamaha,Fazer,150.0,2014,45.0,45.0,1,13.0,30000
Bajaj,Pulsar,150.0,2003,126.0,65.0,1,15.0,24501
Bajaj,Discover,100.0,2011,80.0,80.0,1,7.7,28000
Bajaj,CT,100.0,2016,15745.0,89.0,1,8.1,20180
Suzuki,Gixxer,150.0,2016,26300.0,63.0,1,14.0,50000
Hero,Karizma,223.0,2010,65000.0,40.0,1,17.0,40000
Bajaj,Pulsar,220.0,2018,15000.0,38.0,1,21.0,76775
Yamaha,MT-15,150.0,2019,26000.0,0.0,1,19.0,115000
KTM,RC,200.0,2017,20000.0,35.0,1,25.1,155000
Bajaj,Pulsar,150.0,2017,65.0,65.0,1,15.0,58400
Yamaha,YZF-R15,150.0,2018,20167.0,0.0,1,18.7,118500
Bajaj,Dominar,400.0,2019,28.0,28.0,1,34.5,165200
Royal-Enfield,Thunderbird,500.0,2017,40000.0,25.0,1,27.2,150500
Royal-Enfield,Standard,350.0,2019,30.0,30.0,1,18.0,130000
Hero,Splendor,100.0,2021,956.0,55.0,1,7.91,73000
Honda,Dream,110.0,2015,84.0,84.0,1,8.25,31000
Royal-Enfield,Thunderbird,350.0,2019,28700.0,0.0,1,19.8,170000
Bajaj,Avenger,220.0,2018,9097.0,53.0,1,19.0,70000
Bajaj,Avenger,150.0,2017,15950.0,45.0,1,14.3,67500
Yamaha,FZ25,250.0,2018,17000.0,43.0,1,20.3,98500
Yamaha,FZs,150.0,2013,22605.0,45.0,2,13.0,35000
Honda,Livo,110.0,2015,5560.0,55.0,1,8.25,37500
Hero,Passion,100.0,2013,23000.0,5.0,1,8.2,34000
Royal-Enfield,Bullet,350.0,2015,5800.0,37.0,1,19.8,110000
Royal-Enfield,Classic,500.0,2015,25000.0,32.0,2,27.2,125000
Hero,Passion,100.0,2016,25000.0,5.0,1,8.2,18750
Yamaha,YZF-R15,150.0,2015,15671.0,42.0,2,16.7,65000
Royal-Enfield,Classic,350.0,2021,1300.0,35.0,1,19.1,207500
Husqvarna,Vitpilen,250.0,2020,2500.0,31.0,1,29.63,202312
Royal-Enfield,Himalayan,410.0,2018,22000.0,32.0,1,24.5,175000
Bajaj,Pulsar,200.0,2013,35.0,35.0,1,23.19,47000
TVS,Apache,310.0,2020,450.0,22.0,1,33.0,263000
Bajaj,Pulsar,200.0,2016,35.0,35.0,1,24.5,85000
Jawa,Forty,295.0,2019,4930.0,0.0,1,27.0,140000
TVS,Apache,180.0,2018,45.0,45.0,1,17.3,58000
Hero,CBZ,150.0,2011,35000.0,65.0,1,14.4,25000
TVS,Sport,100.0,2014,15000.0,95.0,1,7.4,36000
Hero,Passion,100.0,2014,17700.0,5.0,1,8.2,38000
Bajaj,Pulsar,220.0,2016,21000.0,38.0,1,21.0,58200
KTM,Duke,125.0,2019,11500.0,0.0,1,14.3,124500
TVS,Apache,200.0,2019,40.0,40.0,1,20.23,90000
Yamaha,FZ,150.0,2015,58.0,58.0,1,13.0,46000
Bajaj,Avenger,160.0,2020,8019.0,53.0,1,14.79,85000
KTM,RC,390.0,2020,930.0,26.0,1,42.3,290000
Bajaj,Pulsar,220.0,2015,46740.0,38.0,1,21.0,40000
Royal-Enfield,Classic,350.0,2019,12000.0,35.0,1,19.8,170000
KTM,Duke,250.0,2020,13000.0,0.0,1,29.6,199999
Honda,H’ness,350.0,2020,1475.0,45.0,1,20.78,173300
Bajaj,Dominar,400.0,2019,28.0,28.0,1,34.5,157600
Royal-Enfield,Bullet,350.0,2015,14300.0,35.0,1,19.8,100000
Royal-Enfield,Thunderbird,350.0,2016,28000.0,40.0,1,19.8,82050
Bajaj,Pulsar,200.0,2018,42.0,42.0,1,23.2,65000
Bajaj,Pulsar,200.0,2018,42.0,42.0,3,23.2,56000
Bajaj,Pulsar,220.0,2016,30000.0,38.0,1,21.0,70000
Hero,Karizma,223.0,2016,25000.0,48.0,1,20.0,46992
Royal-Enfield,Classic,350.0,2016,2500.0,35.0,1,19.8,117000
Royal-Enfield,Electra,350.0,2017,16781.0,25.0,1,19.8,112500
Bajaj,Pulsar,150.0,2013,65.0,65.0,1,14.85,29100
TVS,Apache,180.0,2015,45.0,45.0,1,17.2,44000
Yamaha,FZS,150.0,2018,18000.0,52.0,1,12.9,74700
Royal-Enfield,Classic,350.0,2019,7000.0,35.0,1,19.8,170000
Royal-Enfield,Classic,350.0,2019,2300.0,35.0,1,19.8,195000
KTM,Duke,125.0,2019,12000.0,0.0,1,14.3,135000
Royal-Enfield,Continental,535.0,2015,4600.0,26.0,1,29.1,135000
KTM,Duke,200.0,2014,28912.0,35.0,2,25.0,93999
Bajaj,Avenger,220.0,2016,7800.0,53.0,1,19.0,60000
Bajaj,Discover,125.0,2017,37000.0,65.0,1,12.5,32250
Bajaj,Avenger,220.0,2016,50000.0,40.0,2,19.0,51000
Bajaj,Pulsar,150.0,2009,65.0,65.0,1,14.85,14000
TVS,Apache,310.0,2021,3500.0,22.0,1,33.0,249000
KTM,RC,390.0,2016,3400.0,26.0,2,42.3,150000
Bajaj,CT,100.0,2020,6500.0,89.0,1,8.1,55000
Bajaj,V12,125.0,2017,36500.0,57.0,1,12.0,55000
KTM,RC,200.0,2020,3500.0,35.0,1,25.1,215000
Royal-Enfield,Classic,350.0,2018,4900.0,35.0,1,19.8,165000
Royal-Enfield,Classic,350.0,2019,14500.0,35.0,1,19.8,157000
Royal-Enfield,Classic,350.0,2020,6000.0,35.0,1,19.1,210000
Royal-Enfield,Bullet,350.0,2019,8000.0,0.0,1,19.8,160000
Honda,CB,125.0,2014,65.0,65.0,1,10.0,47000
Bajaj,Avenger,220.0,2018,3600.0,35.0,1,19.0,115000
Royal-Enfield,Bullet,350.0,2009,14000.0,30.0,2,19.8,125000
Royal-Enfield,Thunderbird,350.0,2012,49000.0,40.0,1,19.8,73000
TVS,Apache,150.0,2012,45.0,45.0,2,13.7,58000
Jawa,Forty,295.0,2020,5000.0,0.0,1,27.0,190000
Royal-Enfield,Classic,350.0,2020,13000.0,35.0,1,19.1,209000
Royal-Enfield,Classic,500.0,2019,8000.0,35.0,1,27.2,205000
Honda,Dream,110.0,2017,84.0,84.0,1,8.25,52000
Royal-Enfield,Classic,350.0,2018,7000.0,35.0,1,19.8,170000
Yamaha,YZF-R15,150.0,2016,18000.0,42.0,1,16.0,65000
Royal-Enfield,Thunderbird,350.0,2018,4000.0,40.0,1,19.8,150000
Royal-Enfield,Classic,350.0,2019,12000.0,35.0,1,19.8,162000
Royal-Enfield,Himalayan,410.0,2020,3000.0,32.0,1,24.3,210000
Mahindra,Centuro,110.0,2014,38000.0,60.0,1,8.5,33000
Bajaj,CT,100.0,2016,28800.0,67.0,1,8.1,39000
Hero,HF,100.0,2019,36000.0,55.0,1,6.15,53000
Royal-Enfield,Classic,350.0,2020,5659.0,35.0,1,19.1,185000
Yamaha,FZ,150.0,2015,58.0,58.0,2,13.0,73000
Royal-Enfield,Standard,350.0,2018,37.0,37.0,1,19.8,150000
Yamaha,FZ,150.0,2016,58.0,58.0,1,13.0,37500
Bajaj,Pulsar,150.0,2012,65.0,65.0,1,14.85,24000
Suzuki,Gixxer,150.0,2015,39000.0,63.0,1,14.0,46500
Bajaj,Avenger,220.0,2011,39000.0,40.0,1,19.0,27899
TVS,Apache,310.0,2017,21500.0,22.0,1,33.0,35000
Honda,CB,160.0,2019,52.0,52.0,1,13.82,99000
Suzuki,Gixxer,150.0,2019,13700.0,40.0,1,14.6,110000
Honda,CB,160.0,2021,4890.0,55.0,1,12.5,112000
Royal-Enfield,Bullet,350.0,2011,38998.0,40.0,1,19.8,95000
Hero,Splendor,100.0,2017,18649.0,81.0,1,8.2,49500
Bajaj,CT,100.0,2015,15648.0,89.0,2,8.1,32500
Yamaha,Crux,110.0,2014,60.0,60.0,1,7.5,28000
Hero,Glamour,125.0,2014,42000.0,55.0,1,8.9,38000
Royal-Enfield,Classic,500.0,2013,29000.0,32.0,1,27.2,130000
Hero,Splendor,100.0,2014,52000.0,81.0,1,8.2,39000
Bajaj,Discover,125.0,2013,40000.0,65.0,1,12.5,32000
Hero,Glamour,125.0,2014,46000.0,55.0,1,8.9,39000
Royal-Enfield,Bullet,350.0,2013,38000.0,37.0,1,19.8,120000
Honda,CB,125.0,2015,65.0,65.0,1,10.0,25000
KTM,Duke,390.0,2016,31000.0,25.0,1,42.9,135000
Bajaj,Pulsar,150.0,2009,65.0,65.0,1,14.85,15000
Royal-Enfield,Bullet,350.0,2019,2500.0,0.0,1,19.8,160000
TVS,Apache,160.0,2011,60.0,60.0,1,15.2,40000
Bajaj,V15,150.0,2016,25300.0,57.0,1,11.8,45000
Bajaj,Pulsar,200.0,2015,35.0,35.0,4,24.16,41000
Royal-Enfield,Classic,350.0,2017,16805.0,35.0,1,19.8,132000
Royal-Enfield,Classic,350.0,2016,19837.0,35.0,1,19.8,110000
Royal-Enfield,Classic,350.0,2018,13562.0,35.0,1,19.8,125000
Royal-Enfield,Classic,350.0,2019,6500.0,35.0,1,19.8,190000
KTM,RC,200.0,2018,32000.0,35.0,2,25.1,130000
Royal-Enfield,Thunderbird,350.0,2003,15000.0,30.0,2,19.8,160000
Royal-Enfield,Thunderbird,350.0,2016,13400.0,40.0,1,19.8,111100
TVS,Apache,180.0,2016,45.0,45.0,1,17.3,48000
Royal-Enfield,Thunderbird,350.0,2018,14494.0,40.0,1,19.8,148000
Royal-Enfield,Classic,350.0,2017,15000.0,35.0,1,19.8,133000
TVS,Apache,160.0,2018,60.0,60.0,1,15.2,55000
TVS,Apache,160.0,2017,60.0,60.0,1,15.2,51000
Yamaha,FZs,150.0,2012,47500.0,45.0,1,13.0,35000
Royal-Enfield,Electra,350.0,2016,25000.0,25.0,1,19.8,89280
Bajaj,Avenger,150.0,2017,30971.0,45.0,1,14.3,55000
Bajaj,Avenger,220.0,2014,25600.0,40.0,1,19.0,36312
Royal-Enfield,Thunderbird,350.0,2013,50000.0,40.0,2,19.8,86000
Royal-Enfield,Bullet,350.0,2015,24000.0,35.0,1,19.8,110000
Yamaha,FZs,150.0,2013,25500.0,45.0,1,13.0,35000
Royal-Enfield,Thunderbird,350.0,2017,30500.0,40.0,1,19.8,150000
TVS,Apache,160.0,2020,60.0,60.0,2,15.2,56000
TVS,Apache,160.0,2014,60.0,60.0,1,15.2,39000
Honda,CB,160.0,2017,52.0,52.0,1,15.44,54000
Bajaj,Pulsar,150.0,2018,65.0,65.0,1,15.0,70000
TVS,Apache,160.0,2017,60.0,60.0,1,15.2,62000
TVS,Apache,180.0,2015,45.0,45.0,1,17.2,52000
Yamaha,FZs,150.0,2016,8500.0,45.0,1,13.0,54000
Hero,Passion,100.0,2014,40000.0,5.0,2,8.2,24910
Bajaj,Pulsar,150.0,2014,65.0,65.0,1,14.85,32500
Royal-Enfield,Bullet,350.0,2016,15000.0,40.0,1,19.8,95000
Bajaj,Pulsar,150.0,2007,65.0,65.0,1,14.85,10000
Royal-Enfield,Bullet,500.0,2016,16000.0,25.0,2,26.37,65000
Hero,Splendor,100.0,2017,14500.0,81.0,1,8.2,42500
Royal-Enfield,Classic,350.0,2016,20000.0,35.0,2,19.8,149000
Yamaha,FZ,150.0,2018,58.0,58.0,1,13.0,95000
Honda,CB,150.0,2013,60.0,60.0,1,14.0,52000
Hero,Splendor,110.0,2017,16000.0,55.0,1,9.3,56000
Hero,Splendor,100.0,2016,20000.0,55.0,1,8.2,55000
Bajaj,Pulsar,220.0,2016,22000.0,38.0,1,21.0,75000
Bajaj,Pulsar,200.0,2015,16000.0,40.0,1,24.2,79999
Suzuki,Gixxer,150.0,2017,30500.0,63.0,1,14.0,56000
Hero,HF,100.0,2018,7259.0,65.0,1,8.1,22500
Hero,Super,125.0,2019,45990.0,75.0,1,9.0,58000
Hero,New,125.0,2019,15500.0,75.0,2,9.0,35000
Bajaj,Pulsar,200.0,2018,42.0,42.0,1,23.2,85000
Jawa,Forty,295.0,2019,600.0,0.0,1,27.0,162000
Bajaj,Avenger,220.0,2017,35364.0,53.0,2,19.0,69000
Yamaha,FZ,150.0,2015,58.0,58.0,1,13.0,60000
Bajaj,Pulsar,200.0,2017,35.0,35.0,1,24.5,99000
Bajaj,Platina,110.0,2019,104.0,10.0,1,8.2,55000
Royal-Enfield,Thunderbird,350.0,2017,4333.0,40.0,1,19.8,130900
KTM,Duke,125.0,2021,3800.0,0.0,1,14.3,175000
Royal-Enfield,Classic,350.0,2019,9301.0,35.0,1,19.8,175000
Royal-Enfield,Bullet,350.0,2019,8000.0,0.0,1,19.8,155000
Royal-Enfield,Thunderbird,350.0,2019,11573.0,0.0,1,19.8,160000
Royal-Enfield,Classic,350.0,2015,35000.0,35.0,1,19.8,99999
Suzuki,Gixxer,150.0,2016,18546.0,63.0,1,14.0,56430
Bajaj,Pulsar,180.0,2016,25440.0,65.0,1,17.0,45000
TVS,Apache,160.0,2018,60.0,60.0,1,15.2,51000
TVS,Apache,160.0,2011,60.0,60.0,1,15.2,29000
Bajaj,Pulsar,150.0,2020,55.0,55.0,1,13.8,77815
Bajaj,Pulsar,180.0,2019,9500.0,0.0,1,17.0,77815
TVS,Apache,200.0,2018,40.0,40.0,1,20.7,75000
Bajaj,Pulsar,220.0,2015,49000.0,38.0,1,21.0,54000
Royal-Enfield,Classic,350.0,2018,9000.0,35.0,1,19.8,130000
Honda,CB,150.0,2014,23000.0,60.0,1,14.0,38000
Suzuki,Slingshot,125.0,2016,32568.0,59.0,1,8.5,25700
TVS,Apache,160.0,2008,60.0,60.0,1,15.2,17000
Honda,CBR,150.0,2012,32000.0,38.0,4,18.28,40000
Bajaj,Pulsar,150.0,2013,65.0,65.0,2,14.85,27899
Bajaj,Pulsar,200.0,2019,42.0,42.0,1,23.2,102086
Royal-Enfield,Bullet,350.0,2015,42000.0,40.0,1,19.8,70000
Bajaj,Pulsar,160.0,2017,45000.0,0.0,1,15.5,56000
Bajaj,Pulsar,160.0,2018,15000.0,0.0,1,15.5,72037
Suzuki,Gixxer,150.0,2015,29000.0,63.0,1,14.0,41000
TVS,Apache,160.0,2014,60.0,60.0,1,15.2,42400
Bajaj,Pulsar,200.0,2018,42.0,42.0,4,23.2,39000
Royal-Enfield,Classic,500.0,2017,29562.0,35.0,1,27.2,140000
Royal-Enfield,Electra,350.0,2009,16080.0,37.0,2,19.0,60000
Honda,SP125,125.0,2020,3500.0,0.0,1,10.72,62000
Royal-Enfield,Classic,350.0,2019,1500.0,35.0,1,19.8,184000
Royal-Enfield,Classic,350.0,2018,9100.0,35.0,1,19.8,135000
Hero,HF,100.0,2018,11024.0,55.0,1,6.15,43000
Royal-Enfield,Classic,500.0,2012,24500.0,32.0,1,27.2,79000
Royal-Enfield,Classic,350.0,2017,58000.0,35.0,1,19.8,114900
Yamaha,FZ,150.0,2018,58.0,58.0,1,13.0,60000
Royal-Enfield,Bullet,350.0,1991,1700.0,37.0,1,19.8,175000
Royal-Enfield,Classic,350.0,2019,9500.0,35.0,1,19.8,160000
Jawa,Forty,295.0,2019,3200.0,0.0,1,27.0,160000
Yamaha,FZS-FI,150.0,2019,14000.0,0.0,1,12.2,110000
Royal-Enfield,Classic,350.0,2019,700.0,35.0,1,19.8,197000
Yamaha,Fazer,250.0,2017,18000.0,43.0,1,20.3,115000
Hero,Super,125.0,2008,60000.0,75.0,1,9.0,18000
Royal-Enfield,Classic,350.0,2020,1400.0,35.0,1,19.1,195000
KTM,Duke,250.0,2020,4000.0,0.0,1,29.6,225000
Royal-Enfield,Himalayan,410.0,2017,15000.0,32.0,2,24.5,180000
Bajaj,Pulsar,220.0,2020,200.0,38.0,1,21.0,132000
Royal-Enfield,Electra,350.0,2016,30000.0,25.0,1,19.8,112800
Suzuki,Gixxer,150.0,2017,18000.0,40.0,1,14.6,60800
Bajaj,Pulsar,200.0,2017,42.0,42.0,1,23.2,54000
Suzuki,Gixxer,250.0,2019,2900.0,0.0,1,26.1,165000
Royal-Enfield,Classic,350.0,2018,11000.0,35.0,1,19.8,165000
Honda,CB,160.0,2017,52.0,52.0,1,15.44,69000
Bajaj,Platina,100.0,2017,104.0,10.0,1,8.2,47000
Bajaj,Pulsar,220.0,2018,9045.0,38.0,1,21.0,80000
Bajaj,Avenger,150.0,2016,11000.0,50.0,1,14.3,75000
Royal-Enfield,Classic,350.0,2019,13230.0,35.0,1,19.8,175000
Royal-Enfield,Standard,350.0,2017,37.0,37.0,2,19.8,120000
Royal-Enfield,Thunderbird,350.0,2016,8800.0,40.0,2,19.8,110000
Honda,CB,160.0,2018,52.0,52.0,1,15.44,82000
Royal-Enfield,Thunderbird,350.0,2015,10855.0,40.0,1,19.8,95000
Royal-Enfield,Classic,350.0,2016,20671.0,35.0,1,19.8,105000
Bajaj,Avenger,220.0,2016,16000.0,35.0,1,19.0,70000
Royal-Enfield,Classic,350.0,2015,28500.0,35.0,1,19.8,115000
Royal-Enfield,Meteor,350.0,2021,3700.0,0.0,1,20.2,180000
TVS,Apache,160.0,2018,60.0,60.0,1,15.2,52000
KTM,RC,200.0,2020,3843.0,35.0,1,25.1,210000
KTM,Duke,200.0,2017,13000.0,35.0,2,24.6,107500
Hero,HF,100.0,2014,38000.0,83.0,1,7.7,38000
Honda,CB,150.0,2014,60.0,60.0,1,14.0,38000
Bajaj,Pulsar,150.0,2018,65.0,65.0,1,15.0,74000
Royal-Enfield,Bullet,350.0,2014,35000.0,37.0,1,19.8,125000
Honda,CB,125.0,2015,65.0,65.0,1,10.0,45000
Hero,HF,100.0,2015,23000.0,55.0,1,6.15,45000
Honda,Dream,110.0,2014,84.0,84.0,1,8.25,39000
Bajaj,Dominar,400.0,2018,28.0,28.0,1,34.5,150000
TVS,Apache,160.0,2018,15000.0,0.0,2,16.1,60500
Bajaj,CT,100.0,2016,16875.0,89.0,1,8.1,26000
Hero,Passion,100.0,2019,44000.0,5.0,1,8.2,60000
Bajaj,Avenger,220.0,2016,28300.0,40.0,1,19.0,55000
Bajaj,Platina,100.0,2019,104.0,10.0,1,8.1,48000
Bajaj,Avenger,150.0,2016,16470.0,50.0,1,14.3,550000
Bajaj,Discover,125.0,2013,48000.0,65.0,1,12.5,32000
KTM,Duke,250.0,2018,12000.0,0.0,1,29.6,150000
Yamaha,YZF-R15,150.0,2018,13000.0,0.0,1,18.7,112000
Suzuki,Slingshot,125.0,2011,33693.0,59.0,1,8.5,25000
Bajaj,Pulsar,150.0,2017,65.0,65.0,1,15.0,75000
Suzuki,Gixxer,150.0,2018,17700.0,63.0,2,14.0,64200
Hero,Xtreme,150.0,2013,30000.0,50.0,1,14.2,25000
Hero,Xtreme,150.0,2014,20000.0,50.0,1,14.2,32000
Royal-Enfield,Bullet,350.0,2014,35000.0,37.0,2,19.8,110000
Honda,CB,125.0,2019,65.0,65.0,1,10.0,78000
Bajaj,Pulsar,180.0,2012,35000.0,45.0,2,17.0,40000
KTM,RC,125.0,2019,12000.0,40.0,1,14.5,165000
Royal-Enfield,Meteor,350.0,2021,800.0,0.0,1,20.2,225000
Royal-Enfield,Bullet,350.0,1994,34000.0,37.0,2,19.8,78000
Royal-Enfield,Bullet,350.0,1997,45000.0,37.0,3,19.8,90000
Bajaj,CT110,110.0,2019,6555.0,0.0,1,8.6,58000
Royal-Enfield,Bullet,350.0,2008,45000.0,37.0,1,19.8,140000
